a#
á#
ā#錒
ái#皚捱騃磑獃
ài#靉閡鑀薆礙璦曖愛嬡𥴨𣜬噯
ǎi#靄藹噯謁
āi#鎄捱剴諰噯
án#
àn#鮟頇闇䬓
ǎn#銨闇
ān#鵪諳菴鴳鮟闇
áng#
àng#
ǎng#
āng#骯醃
áo#鷔鰲囂磽
ào#驁鷔
ǎo#襖
āo#
ba#罷
bá#颰軷
bà#鮊壩䆉鮁䰾䥯䎱罷
bǎ#鈀
bā#鈀釟䶕䰾𩚥
bai#
bái#
bài#韛敗𤁣
bǎi#擺襬
bāi#
ban#
bàn#辦絆並
bǎn#鈑闆
bān#頒𪄕賁
bàng#謗𩦠鎊縍並
bǎng#綁
bāng#縍幫
báo#鉋
bào#鮑鉋報
bǎo#鴇飽寶
bāo#齙鮑
bei#唄
bèi#鋇輩貝珼狽梖憊備㛝
běi#鉳
bēi#鵯襬䥯䎱
bèn#軬
běn#
bēn#錛𩣺鐼賁
béng#
bèng#鏰𩗴
běng#繃
bēng#閍𦅈繃
bí#
bì#鷩鮅飶韠閉鉍蹕贔賁詖蓽篳畢熚潷斃彃幣嗶䟆䋔𣯴鸊閈祕䫾䌟𩏂紕
bǐ#筆㻶紕
bī#鰏鎞䮠䫾紕
biàn#閞辯辮變緶
biǎn#貶𧸘緶
biān#鯿鯾邊編籩
bian#邊
biào#鰾
biǎo#錶
biāo#驫驃飆颷颮鑣鏢標
bié#別
biè#彆別
biě#癟
biē#鱉䳤
bìn#鬢髕臏殯擯儐
bǐn#
bīn#鑌賓繽璸瀕濱贇訜儐
bìng#併並
bǐng#餅𩶁𩏂綆稟
bīng#檳
bing#餅
bo#蔔
bó#鵓駁餺鎛鉑鈸襏䌟𩗓𩗀鮊
bò#
bǒ#
bō#鮁驋餑鉢蹳撥剝
bú#轐僕
bù#佈𩻗餔鈈
bǔ#補
bū#餔鈽鯆
bu#
cà#囃磣䟃
cǎ#
cā#
cái#財纔
cài#埰
cǎi#綵採埰
cāi#
cai#
cán#蠶殘戔慚㨻蹔
càn#燦摻
cǎn#黲穇慘篸
cān#驂飱參䟃㜗嵾鰺
cáng#
càng#
cāng#鶬蒼艙獊滄傖倉瑲
cáo#𩞄
cào#
cǎo#
cāo#
cè#萴測惻廁冊側齰筴幘
cén#
cēn#篸嵾穇
céng#驓層繒
cèng#
cēng#
chá#
chà#詫剎
chǎ#鑔
chā#餷鍤鎈釵
chái#齜儕
chài#蠆
chǎi#
chāi#釵
chán#饞鑱讒蟬纏嬋𨬖繟禪撣
chàn#顫懺讖幝剗㨻
chǎn#闡鏟譂諂蕆繟産產滻幝嵼囅剗㹽嘽憚
chān#鉆覘攙佔襝摻嘽
chang#
cháng#鱨萇腸嚐嘗償䠆䗅棖長場
chàng#畼瑒暢悵
chǎng#廠場儻
chāng#鯧閶錩倀𩳤
cháo#鼂
chào#縐
chǎo#麨謅㥮
chāo#鈔嘮綽
ché#
chè#徹𥿊詀
chě#
chē#車硨唓俥
che#
chen#傖
chén#鷐陳諶蔯塵棧
chèn#齔讖襯櫬儭䞋瀋稱
chěn#磣
chēn#賝縝
chéng#鋮誠棖懲𩤙𧶔傖倀徵嗆
chèng#
chěng#騁
chēng#赬蟶稱檉撐𩞦瑲湞
cheng#撐
chí#馳遲鶗驪鍉
chì#鶒飭熾𪀦𩿪𧩼鳷滯勑
chǐ#齒恥齣紕
chī#鴟誺絺癡喫
chóng#蟲緟
chòng#銃衝沖
chǒng#寵衝
chōng#衝沖傭𩰀
chou#
chóu#躊讎薵綢紬籌疇懤幬嬦䲖㿧鮋譸檮擣儔䊭
chòu#
chǒu#醜鈕
chōu#謅篘紬
chu#處
chú#雛鋤躕芻廚媰䅳𪆷㶆
chù#觸處絀詘
chǔ#礎儲處
chū#齣貙踰嘔
chuà#
chuǎ#
chuā#
chuái#
chuài#䦟
chuǎi#
chuāi#
chuán#傳
chuàn#釧
chuǎn#膞
chuān#釧
chuáng#牀
chuàng#愴創
chuǎng#闖愴
chuāng#瘡摐戧創
chuí#鎚錘
chuì#
chuǐ#
chuī#
chun#鶉
chún#蒓脣純蓴膞
chǔn#賰䮞
chūn#鰆輇
chuò#齪輟綽嚽鏃孎
chuō#
cí#鷀鶿鴜餈辭詞薺茲澬
cì#賜
cǐ#鮆
cī#蠀
cóng#誴從叢
còng#
cǒng#
cōng#驄鏦蔥聰瑽樅囪䢨蓯從
cóu#
còu#輳湊藪
cǒu#
cōu#
cú#
cù#顣縬䥄𪓰縐
cǔ#
cū#
cuán#欑灒
cuàn#鑹竄
cuān#躥攛鑹䂎
cuì#
cuǐ#
cuī#縗
cún#
cùn#
cǔn#
cūn#
cun#
cuó#鹺躦酇
cuò#錯銼
cuǒ#
cuō#
d#
da#
dá#鐽達躂薘䃮𩟐韃憚
dà#
dǎ#
dā#噠䌋鎝䪏
dài#靆軑貸紿帶駘詒螮
dǎi#
dāi#獃
dai#
dàn#贉誕癉撣憚彈贍譂訑壇䪴擔
dǎn#膽癉䪴撣嘽
dān#鄲簞殫擔單𨢿覘癉
dan#擔
dang#鐺當
dàng#蕩碭盪檔壋讜瘍瑒當
dǎng#黨讜灙欓擋
dāng#襠簹當璫噹𥢷
dáo#
dào#盜燾儔䊭𤘀幬薵檮
dǎo#禱擣搗島導
dāo#魛
dao#
de#
dé#鍀
dē#
děi#
dèn#
dèng#鐙鄧
děng#
dēng#燈鐙
dí#鏑覿糴滌敵鍉蓧
dì#遞諦螮締弔
dǐ#詆
dī#鍉磾鏑䪘
di#
diǎ#
dián#
diàn#電澱墊唸鈿
diǎn#點
diān#顛癲巔𩥄佔詀
diào#銱釣調蓧窵弔𥾯銚趙誂
diǎo#鵃
diāo#鵰鯛琱彫軺
dié#鰈諜絰疊𨴗鰨軼
diè#
diě#
diē#
dìn#
dìng#飣錠鋌訂𩜦
dǐng#頂
dīng#釘
diū#銩丟
dòng#駧腖絧棟動凍詷衕倲
dǒng#
dōng#鼕鶇東崬埬倲
dòu#鬥餖竇瀆
dǒu#鈄
dōu#
dú#黷讀瓄獨犢牘瀆殰櫝嬻竇
dù#鍍塗
dǔ#賭篤鍺
dū#闍
du#
duàn#鍛緞籪斷
duǎn#
duān#
duì#隊鐓綐濧懟對鋭鈗
duǐ#謉
duī#䭔鐓鎚
dùn#頓鈍燉
dǔn#躉
dūn#噸燉鐓
duo#
duó#鮵鐸敓奪凙𪃒襗澤
duò#飿詑墮
duǒ#鍺綞嚲䫂
duō#鄲
é#鵝額鈋訛鋨蒍
è#齶鶚鱷鰐魥餓顎閼鍔軛諤惡堊埡㩵齾鴳
ě#玀椏噁
ē#痾
ế#
ê̌#
éi#誒
ěi#誒
èi#誒
èn#
ěn#
ēn#
ēng#
ér#鴯鮞兒
èr#鉺貳
ěr#餌邇爾䋙鉺
fa#發
fá#閥罰貶汎
fà#髮琺發
fǎ#
fā#發醱
fán#鐇礬煩渢䮳䫶䋦氾楓釩
fàn#飯軬販範汎氾釩
fǎn#釩
fān#
fan#煩
fang#
fáng#鰟魴
fàng#
fǎng#鶭訪紡
fāng#鈁
féi#賁
fèi#鯡鐨費櫠曊廢䉬襏紼
fěi#誹𦃄
fēi#飛緋鯡
fén#魵鐼豶羵濆幩墳賁
fèn#鱝膹糞憤奮僨魵幩賁
fěn#
fēn#鈖訜紛錀
fen#
féng#馮渢縫
fèng#鵬鳳賵縫
fěng#諷
fēng#麷風鋒豐碸瘋灃楓峯偑
fó#
fóu#
fǒu#鴀
fōu#
fu#負婦
fú#鵩鴔鳧鮄韍輻絥紼紱彿䋹颰韛錇
fù#鰒鮒駙賻賦負訃複縛復婦𩵹
fǔ#鳬頫輔撫嘸鈇
fū#麩鈇膚𩵩
gá#釓
gà#
gǎ#
gā#
gài#鈣蓋磑
gǎi#𨮂
gāi#賅該閡
