a#
á#
ā#腌
ái#
ài#碍爱
ǎi#蔼
āi#
án#
àn#
ǎn#
ān#鹌
áng#
àng#
ǎng#
āng#腌肮
áo#
ào#奥
ǎo#袄媪
āo#
ba#罢
bá#
bà#坝罢
bǎ#
bā#
bai#
bái#
bài#败
bǎi#摆
bāi#
ban#
bàn#办
bǎn#
bān#
bàng#謗
bǎng#
bāng#帮
báo#
bào#鮑报
bǎo#鴇饱宝
bāo#齙
bei#唄
bèi#辈贝狈备
běi#鉳
bēi#鵯
bèn#
běn#
bēn#錛
béng#
bèng#鏰
běng#
bēng#閍绷
bí#
bì#鷩闭毙毕币辟
bǐ#笔
bī#鰏
biàn#閞辫辩变
biǎn#貶
biān#鯿鯾边编
bian#邊
biào#鰾
biǎo#錶
biāo#驫标
bié#别
biè#彆别
biě#癟
biē#鱉
bìn#鬢
bǐn#
bīn#滨宾
bìng#并
bǐng#餅
bīng#檳
bing#餅
bo#蔔
bó#鵓驳
bò#蘖
bǒ#
bō#鮁拨剥
bú#
bù#
bǔ#補
bū#餔
bu#
cà#囃
cǎ#
cā#
cái#財
cài#
cǎi#
cāi#
cai#
cán#蠶残惭
càn#灿
cǎn#黲穇惨
cān#驂参
cáng#
càng#
cāng#鶬蒼苍舱仓
cáo#
cào#
cǎo#
cāo#
cè#萴测厕册侧栅
cén#
cēn#篸嵾
céng#驓层
cèng#
cēng#
chá#
chà#詫姹刹
chǎ#鑔
chā#餷鍤
chái#齜
chài#
chǎi#
chāi#釵𥐟
chán#饞蝉缠
chàn#顫忏
chǎn#闡铲产
chān#鉆搀
chang#
cháng#鱨肠尝偿长场
chàng#畅
chǎng#场厂
chāng#鯧
cháo#鼂
chào#
chǎo#麨
chāo#鈔
ché#
chè#彻
chě#
chē#車
che#
chen#傖
chén#鷐陈尘
chèn#齔衬称
chěn#
chēn#賝
chéng#鋮诚惩
chèng#
chěng#騁
chēng#称撑柽
cheng#撐
chí#馳迟
chì#鶒
chǐ#齒耻
chī#吃
chóng#虫
chòng#銃冲
chǒng#寵
chōng#衝冲
chou#
chóu#踌绸
chòu#
chǒu#醜丑
chōu#謅篘
chu#處处
chú#雛锄蹰橱厨
chù#触处
chǔ#礎础柠储处
chū#齣貙
chuà#
chuǎ#
chuā#
chuái#
chuài#
chuǎi#
chuāi#
chuán#传
chuàn#釧
chuǎn#
chuān#
chuáng#牀床
chuàng#愴創创
chuǎng#闖
chuāng#瘡创
chuí#锤
chuì#
chuǐ#
chuī#
chun#鶉
chún#纯唇
chǔn#賰
chūn#鰆
chuò#齪
chuō#
cí#鷀鶿辞词糍
cì#賜蚝
cǐ#
cī#
cóng#誴从丛
còng#
cǒng#
cōng#驄鏦葱聪囱偬从
cóu#
còu#輳凑
cǒu#
cōu#
cú#
cù#顣
cǔ#
cū#
cuán#欑
cuàn#鑹窜
cuān#躥
cuì#
cuǐ#
cuī#縗
cún#
cùn#
cǔn#
cūn#
cun#
cuó#鹺躦
cuò#錯
cuǒ#
cuō#𢫬
d#
da#
dá#达
dà#
dǎ#
dā#
dài#带
dǎi#
dāi#獃
dai#
dàn#诞膻弹担
dǎn#胆
dān#担单
dan#擔担
dang#鐺当
dàng#荡档当
dǎng#黨讜挡党
dāng#襠当
dáo#
dào#盗
dǎo#禱捣岛导
dāo#魛
dao#
de#
dé#鍀
dē#
děi#
dèn#
dèng#鐙邓
děng#
dēng#灯
dí#籴涤敌
dì#递缔
dǐ#
dī#
di#
diǎ#
dián#
diàn#电淀垫
diǎn#點点
diān#
diào#钓调
diǎo#
diāo#鵰
dié#鰈叠
diè#
diě#
diē#
dìn#
dìng#飣锭订
dǐng#
dīng#
diū#銩
dòng#駧动冻
dǒng#
dōng#鼕鶇东
dòu#鬥斗
dǒu#
dōu#
dú#黷读独
dù#
dǔ#賭
dū#闍
du#
duàn#鍛缎断
duǎn#
duān#
duì#隊队对兑
duǐ#
duī#
dùn#頓炖
dǔn#躉
dūn#吨
duo#
duó#鮵鐸夺兑
duò#飿
duǒ#鍺
duō#
é#鵝额
è#齶鳄饿腭恶垩
ě#
ē#疴
ế#
ê̌#
éi#誒
ěi#
èi#誒
èn#
ěn#
ēn#
ēng#
ér#鴯鮞儿
èr#鉺貳
ěr#餌尔
fa#發发
fá#閥罚
fà#髮珐发
fǎ#
fā#發发
fán#鐇烦
fàn#飯贩范
fǎn#釩
fān#
fan#煩
fang#
fáng#鰟魴
fàng#
fǎng#鶭访纺
fāng#鈁
féi#
fèi#鯡费废
fěi#誹
fēi#飞
fén#坟
fèn#鱝膹粪愤奋
fěn#
fēn#纷
fen#
féng#缝
fèng#鵬鳳缝凤
fěng#諷
fēng#麷锋疯峰丰
fó#
fóu#
fǒu#鴀
fōu#
fu#负妇
fú#辐凫
fù#鰒鮒负缚妇复
fǔ#鳬辅抚
fū#麩肤
gá#
gà#
gǎ#
gā#
gài#盖
gǎi#
gāi#该
gai#蓋
gàn#干
gǎn#鱤赶秆
gān#干
gàng#杠
gǎng#崗岗
gāng#鋼纲杠刚冈肮岗
gào#鋯
gǎo#
gāo#
ge#搁个
gé#鮯
gè#箇个
gě#个
gē#鴿搁
gěi#給
gén#
gèn#亘
gěn#䫀
gēn#
gèng#亙暅亘
gěng#鯁
gēng#鶊賡
gong#
gòng#贛
gǒng#鞏巩
gōng#龔宫杠
gòu#购构够
gǒu#
gōu#韝沟
gu#
gú#鶻
gù#鯝雇
gǔ#钴
gū#鴣
guá#
guà#詿挂
guǎ#剮
guā#鴰騧
guài#
guǎi#柺
guāi#
guàn#鸛贯惯
guǎn#館
guān#鰥观关
guàng#
guǎng#獷广
guāng#
guì#鱖贵柜
guǐ#轨诡
guī#龜闺规归洼
gùn#
gǔn#鯀輥衮滚
guó#国
guò#過
guǒ#餜椁
guō#鍋
guo#過
há#
hǎ#
hā#
hái#頦还
hài#駭
hǎi#
hāi#
hai#
hán#魽韓
hàn#駻汉
hǎn#
hān#𠵸
háng#頏肮
hàng#
hāng#
hao#號
háo#蚝号
hào#顥号
hǎo#
hāo#
he#
hé#齕蝎
hè#鶴贺
hě#
hē#訶
hēi#
hén#
hèn#
hěn#
hēn#
héng#鴴横恒
hèng#
hēng#
hóng#黌鴻红
hòng#鬨
hǒng#嗊
hōng#
hou#
hóu#
hòu#鱟鮜后
hǒu#
hōu#
hu#户
hú#鶦鶘壶
hù#鸌护户
hǔ#
hū#軤
huá#鷨驊华划
huà#画桦划
huā#哗
hua#話
huai#劃
huái#怀
huài#壞坏
huan#歡唤
huán#环还
huàn#鯇痪焕涣换奂唤
huǎn#緩
huān#鴅欢
huang#
huáng#黃
huàng#
huǎng#謊
huāng#
hui#
huí#鮰迴
huì#绘汇会涣
huǐ#燬毁
huī#辉挥
hún#浑
hùn#諢
hǔn#
hūn#閽葷
